datetime[UTC],x(km),y(km),z(km),AE_index,Pdyn,Dst_index,VxSW_GSE,F107,FootType
2025-10-01T00:00:00,4015.582439,586.690359,-10629.299349,188.50213333956268,2.1667298958441856,-16.139362695637526,-415.72712524467175,183.8571669709705,2
2025-10-01T00:10:00,8256.883219,448.280895,-8456.912347,188.50359355609905,2.166736308153504,-16.139606382778897,-415.7269482509623,183.8568184353356,2
2025-10-01T00:20:00,11807.254171,270.052697,-5556.599082,188.5050538137081,2.166742719732824,-16.139850075089875,-415.7267712770641,183.8564698833013,2
2025-10-01T00:30:00,14608.778415,72.864746,-2286.742466,188.50651411238783,2.1667491305822075,-16.140093772570214,-415.7265943229781,183.85612131486823,2
2025-10-01T00:40:00,16763.621513,-128.777782,1095.068173,188.5079744521362,2.1667555407017174,-16.140337475219688,-415.7264173887049,183.8557727300368,2
2025-10-01T00:50:00,18408.934734,-327.312192,4449.80783,188.50943483295103,2.1667619500914155,-16.14058118303804,-415.7262404742459,183.8554241288072,2
2025-10-01T01:00:00,19662.989203,-519.433683,7713.604107,188.5108952548302,2.166768358751362,-16.140824896025055,-415.7260635796015,183.85507551118013,2
2025-10-01T01:10:00,20615.826834,-703.977352,10861.447024,188.5123557177716,2.166774766681623,-16.141068614180476,-415.7258867047727,183.85472687715583,2
2025-10-01T01:20:00,21333.679054,-880.768129,13886.902038,188.51381622177328,2.166781173882257,-16.141312337504072,-415.72570984976034,183.85437822673484,2
2025-10-01T01:30:00,21865.203808,-1050.062448,16792.018931,188.51527676683304,2.166787580353328,-16.1415560659956,-415.72553301456537,183.8540295599175,2
2025-10-01T01:40:00,22246.560303,-1212.286406,19582.476769,188.51673735294872,2.166793986094896,-16.14179979965482,-415.7253561991885,183.8536808767043,2
2025-10-01T01:50:00,22505.049353,-1367.914766,22265.269147,188.5181979801184,2.1668003911070235,-16.1420435384815,-415.7251794036307,183.85333217709564,2
2025-10-01T02:00:00,22661.632869,-1517.41638,24847.612783,188.51965864833977,2.1668067953897743,-16.14228728247539,-415.7250026278927,183.85298346109187,2
2025-10-01T02:10:00,22732.669904,-1661.231063,27336.449618,188.5211193576109,2.1668131989432093,-16.142531031636267,-415.7248258719756,183.8526347286935,2
2025-10-01T02:20:00,22731.122783,-1799.761384,29738.239044,188.52258010792963,2.1668196017673904,-16.142774785963866,-415.72464913588016,183.85228597990096,2
2025-10-01T02:30:00,22667.406412,-1933.371433,32058.89181,188.52404089929388,2.1668260038623792,-16.143018545457977,-415.7244724196069,183.8519372147147,2
2025-10-01T02:40:00,22549.995557,-2062.388722,34303.771811,188.52550173170155,2.16683240522824,-16.143262310118345,-415.7242957231571,183.85158843313505,2
2025-10-01T02:50:00,22385.8659,-2187.10734,36477.728663,188.5269626051505,2.166838805865031,-16.14350607994474,-415.7241190465315,183.8512396351624,2
2025-10-01T03:00:00,22180.81929,-2307.791436,38585.142408,188.5284235196387,2.166845205772818,-16.143749854936907,-415.7239423897309,183.85089082079733,2
2025-10-01T03:10:00,21939.727063,-2424.678634,40629.971026,188.529884475164,2.1668516049516606,-16.14399363509463,-415.72376575275615,183.8505419900401,2
2025-10-01T03:20:00,21666.714572,-2537.983161,42615.79631,188.5313454717244,2.1668580034016216,-16.14423742041765,-415.7235891356082,183.8501931428913,2
2025-10-01T03:30:00,21365.302893,-2647.898663,44545.86612,188.53280650931765,2.166864401122763,-16.144481210905738,-415.7234125382879,183.8498442793512,2
2025-10-01T03:40:00,21038.518937,-2754.600664,46423.132354,188.53426758794177,2.166870798115147,-16.144725006558655,-415.7232359607959,183.8494953994203,2
2025-10-01T03:50:00,20688.981943,-2858.248724,48250.284576,188.53572870759467,2.166877194378835,-16.144968807376152,-415.7230594031333,183.84914650309904,2
